"各位保研er大家好！这里是【保研星途】推免招生信息公益分享！
保研星途在2025年总计陪伴3500+学员（含各类全程班、单项班学员等），拿到保研名额的学员上岸率为99.2%，上岸学员中98.6%获得理想offer并实现院校档次跃迁提升。
欢迎联系我们，领取保研资料→",,,,,,
序号,学校 ,学院,通知名称,通知链接,DDL,
9,北京大学,燕京学堂,2026年北京大学燕京学堂全国优秀大学生夏令营报名通知,https://mp.weixin.qq.com/s/QdppbzFE6WjeI02R7mlW8A,2026年6月8日12:00,
10,西安交通大学,体育学院,2026年西安交通大学体育学院全国优秀大学生夏令营通知,https://mp.weixin.qq.com/s/Ccqs70egaehlZiheWwt0dg?scene=1,2026年6月17日,
11,西安交通大学,外国语学院,2026年西安交通大学外国语学院(第十届）全国优秀大学生夏令营通知,https://sfs.xjtu.edu.cn/info/1243/8968.htm?sessionid=,2026年6月12日9:00,
12,西安交通大学,新闻与新媒体学院,2026年西安交通大学新闻与新媒体学院（第八届）全国优秀大学生夏令营,https://xmtxy.xjtu.edu.cn/info/1054/11630.htm,2026年6月30日,
13,北京师范大学,历史学院,2026年北京师范大学历史学院考古文博系全国优秀大学生夏令营活动通知,https://history.bnu.edu.cn/tzgg/cfe0653113bf4474a554b7572582b12d.htm,2026年6月8日,
14,中国科学技术大学,人文与社会科学学院,2026年中国科学技术大学人文与社会科学学院“智汇人文”科学营报名通知,https://hsss.ustc.edu.cn/2026/0519/c20043a741087/page.htm,2026年6月15日,
15,澳门大学,教育学院,2026年澳门大学教育学院2027/2028学年招收推荐免试攻读硕士学位课程,https://fed.um.edu.mo/zh-hant/recommended-direct-admission/,2026年10月15日,
16,北京第二外国语学院,日语学院,2026年北京第二外国语学院日语学院优秀大学生夏令营招生简章（一号通知）,https://mp.weixin.qq.com/s/BRzWOfbkwxcTTvbzyD33JQ?scene=1&click_id=77,2026年6月15日,
17,西安交通大学,新闻与新媒体学院,2026年西安交通大学新闻与新媒体学院（第八届）全国优秀大学生夏令营,https://xmtxy.xjtu.edu.cn/info/1054/11630.htm,2026年6月30日,
18,北京师范大学,教育学部,2026年北京师范大学教育学部教育学原理相关专业优秀大学生暑期夏令营“思想的原野”,https://xly.bnu.edu.cn/www/xly/xly/detail?id=b7412ae8-0b5b-4576-8771-357469528653,2026年6月14日,
19,北京师范大学,教育学部,2026年北京师范大学教育学部高等教育研究院（第十一届）优秀大学生夏令营,https://xly.bnu.edu.cn/www/xly/xly/detail?id=5acd7614-9c2d-4931-9d6e-89d16cb9a908,2026年6月15日,
20,北京师范大学,中国基础教育质量监测协同创新中心,2026年北京师范大学中国基础教育质量监测协同创新中心优秀大学生夏令营活动公告,https://cicabeq.bnu.edu.cn/syxw/tzgg/4dc98daa4eb1412681b4aab85eaf6768.htm,2026年6月23日12:00,
21,北京师范大学,教育学部,2026年北京师范大学教育学部教育技术学院“新教育、新技术、新智造” 暑期学校,https://xly.bnu.edu.cn/www/xly/xly/detail?id=d4ed5045-141b-4ec6-bbce-25d9b509a4a1,2026年6月10日,
22,北京师范大学,教育学部,2026年北京师范大学教育学部教师教育研究院优秀大学生教师教育研究暑期夏令营报名通知,https://mp.weixin.qq.com/s/qQ7u_Qrc1L0hrfexWsfyPg?scene=1&click_id=15,2026年6月8日,
23,西安交通大学,马克思主义学院,2026年西安交通大学马克思主义学院（第十届）全国优秀大学生夏令营通知,https://marx.xjtu.edu.cn/info/1013/9515.htm,2026年6月14日18:00,
24,北京大学,前沿交叉学科研究院,2026年北京大学前沿交叉学科研究院科学技术与医学史系优秀大学生夏令营活动通知,https://mp.weixin.qq.com/s/fZdedsIDV9qwKQ29Sv-zhQ,2026年6月14日17:00,
25,北京师范大学,未来教育学院,2026年北京师范大学未来教育学院优秀大学生夏令营,https://xly.bnu.edu.cn/www/xly/xly/detail?id=955c5ba4-22cd-45aa-a792-7aeaa59e57e0,2026年6月14日24:00,
26,北京师范大学,教育学部,2026年北京师范大学教育学部职业与成人教育研究所优秀大学生夏令营活动公告,https://fe.bnu.edu.cn/html/1/news/20260529/n9452.html,2026年6月18日,
27,兰州大学,外国语学院,2026年兰州大学外国语学院优秀大学生夏令营活动通知,https://mp.weixin.qq.com/s/eHSb1VIItMHzV2BxUfpU9Q?scene=1&click_id=26,2026年6月22日12:00,
28,云南大学,国际关系研究院,2026年云南大学国际关系研究院第六届周边外交与区域国别研究夏令营招生公告,https://mp.weixin.qq.com/s/um63DD0DgVoJX5_-LM5MLA,2026年6月15日17:00,
29,北京大学,社会研究中心,2026年北京大学社会研究中心“全国优秀大学生夏令营”（北京大学光华管理学院夏令营-社会学方向）,https://mp.weixin.qq.com/s/ZBXiPOaqrX3_UQ9_nsHqQA,2026年6月16日12:00,
30,西安交通大学,人文学院,2026年西安交通大学人文学院（第十届）全国优秀大学生夏令营,https://rwxy.xjtu.edu.cn/info/1065/10476.htm,2026年7月2日16:00,
31,贵州财经大学,马克思主义学院,2026年贵州财经大学马克思主义学院学术夏令营活动报名通知,https://maks.gufe.edu.cn/content2.jsp?urltype=news.NewsContentUrl&wbtreeid=1034&wbnewsid=2854,2026年6月18日16:30,
32,中国科学院,自然科学史研究所,2026年中国科学院自然科学史研究所“科技历史与文化”大学生夏令营报名通知,https://mp.weixin.qq.com/s/NguqqUbKNtatiC7ow4Nxhw?scene=1&click_id=1290948231,2026年6月29日,
33,上海师范大学,体育学院,2026年上海师范大学体育学院优秀大学生夏令营营员招收通知,https://tiyu.shnu.edu.cn/03/74/c21209a852852/page.htm,2026年6月28日12:00,
34,兰州大学,政治与国际关系学院,2026年兰州大学政治与国际关系学院优秀大学生夏令营活动通知,https://zgy.lzu.edu.cn/info/1081/6579.htm,2026年7月1日18:00,
35,广东工业大学,艺术与设计学院,2026年广东工业大学艺术与设计学院优秀大学生设计创新暑期夏令营招募通知,https://mp.weixin.qq.com/s/oj-SJSNPOiT6Rvg78q2inA,2026年7月1日24:00,
36,上海理工大学,外语学院,2026年上海理工大学外语学院全国大学生夏令营招生简章,https://mp.weixin.qq.com/s/w7Vam70ZLNoryfeuDDV9TA?scene=1&click_id=12,2026年6月24日24:00,
37,中国地质大学（武汉）,艺术与传媒学院,2026年中国地质大学（武汉）艺术与传媒学院第十二届研招校园开放日活动方案,https://sac.cug.edu.cn/info/1072/13874.htm,2026年6月30日17:00,
38,北京工商大学,马克思主义学院,2026年北京工商大学马克思主义学院关于举办暑期学术探索营的通知,https://marxism.btbu.edu.cn/sylm/xzbg/303d3969ef0c46d28feeedbe15e0edf9.htm,2026年6月28日24:00,
39,中国地质大学（武汉）,体育学院,2026年中国地质大学（武汉）体育学院第十二届研招校园开放日活动方案,https://ty.cug.edu.cn/info/1020/6158.htm,2026年6月30日17:00,
40,中国地质大学（武汉）,马克思主义学院,2026年中国地质大学（武汉）马克思主义学院第十二届研招校园开放日活动方案,https://mkszyxy.cug.edu.cn/info/1029/9968.htm,2026年6月30日17:00,
41,中国地质大学（武汉）,外国语学院,2026年中国地质大学（武汉）外国语学院第十四届研招校园开放日活动方案,https://wyxy.cug.edu.cn/info/1127/8637.htm,2026年6月30日17:00,
42,南京大学,体育科学研究所,2026年南京大学体育科学研究所优秀本科生开放日活活动公告,https://tyb.nju.edu.cn/tyky/20260610/i396620.html,2026年6月28日12:00,
43,深圳大学,教育学部,2026年深圳大学教育学部暑期学校（2027）招生简章,https://mp.weixin.qq.com/s/N8ozZ76aEKLNLlAqzCHB6A,2026年6月30日,
44,西南大学,教育学部,2026年西南大学教育学部“优秀大学生学术夏令营”通知,https://jyxb.swu.edu.cn/info/1136/9570.htm,2026年6月29日,
45,西北大学,科学史高等研究院,2026年西北大学科学史高等研究院第九届“科学与文明”优秀本科生夏令营报名通知,https://mp.weixin.qq.com/s/3_67-sZtFIuOQgyPbI7Ccw?scene=1&click_id=343466487,2026年8月2日14:00,
46,北京工商大学,语言与传播学院,2026年北京工商大学语言与传播学院学术探索营,https://yycb.btbu.edu.cn/tzgg/04b09e22daf84609a6cabedd6155837f.htm,2026年6月28日17:00,
47,南京航空航天大学,外国语学院,2026年南京航空航天大学外国语学院优秀大学生创新论坛报名通知,https://cfl.nuaa.edu.cn/2026/0615/c2311a401733/page.htm,2026年7月2日20:00,
48,河海大学,体育系,2026年河海大学体育系全国优秀大学生校园开放日及有关安排的通知,https://tyx.hhu.edu.cn/2026/0616/c6596a328054/page.htm,2026年6月29日17:00,
