"各位保研er大家好！这里是【保研星途】推免招生信息公益分享！
保研星途在2025年总计陪伴3500+学员（含各类全程班、单项班学员等），拿到保研名额的学员上岸率为99.2%，上岸学员中98.6%获得理想offer并实现院校档次跃迁提升。
欢迎联系我们，领取保研资料→",,,,,,
序号,学校 ,学院,通知名称,通知链接,DDL,
9,复旦大学,化学系,复旦大学分子合成与识别科学中心2026年夏令营报名通知,https://rcmrs.fudan.edu.cn/c7/ce/c25962a772046/page.htm,2026年6月20日,
10,澳門大學,健康科學學院,2026內地優秀大學生健康科學夏令營,https://mp.weixin.qq.com/s/fpbDZtx89_esblaKbo_W3g,2026年4月12日23:59,
11,澳門大學,科技學院,歡迎報名 | 澳大科技學院第七屆優秀大學生暑期研習營接受報名,https://mp.weixin.qq.com/s/w3k0cTW-KYFwUm2KHViqyg,2026 年 5 月 15 日,
12,中国科学技术大学,物理学院,第一届“悟理有术”科学营报名通知,https://physics.ustc.edu.cn/2026/0323/c3584a723896/page.htm,2026年4月8日,
13,北京大学,国际数学研究中心,2026 Summer School on Differential Geometry,https://bicmr.pku.edu.cn/content/show/17-3857.html,2026年4月20日,
14,北京大学,生命科学联合中心,生命科学联合中心（北大方面）2026年暑期培训班招生简介,https://mp.weixin.qq.com/s/c4HLevuAyljhRHrCI-PuzQ,2026年6月2日,
15,中国科学院,上海营养与健康研究所,中国科学院上海营养与健康研究所 2026年大学生暑期夏令营暨2027级硕士研究生推免初选报名通知,https://sedu.sinh.ac.cn/news.php?id=531,2026年6月20日,
16,香港中文大学,化学系,香港中文大学化学系招生夏令营 2026,https://chem.cuhk.edu.hk/%e9%a6%99%e6%b8%af%e4%b8%ad%e6%96%87%e5%a4%a7%e5%ad%a6%e5%8c%96%e5%ad%a6%e7%b3%bb%e6%8b%9b%e7%94%9f%e5%a4%8f%e4%bb%a4%e8%90%a5-2026/,2026年5月10日,
17,中国科学院大学,空间应用工程与技术中心,2026年中国科学院大学“星际航行、银河战队”夏令营招募通知,https://mp.weixin.qq.com/s/6-Kk6NUMe1e6ftwuhGYwxw,暂无,
18,中国科学技术大学,应用化学与工程学院,中国科学技术大学应用化学与工程学院（中国科学院长春应用化学研究所）2026年校园开放日活动通知,http://yjsb.ciac.cas.cn/zsxx/zxxx/202604/t20260403_828968.html,2026年4月16日,
19,清华大学,环境学院,2026年清华大学环境学院国际暑期学校招募开启,https://www.env.tsinghua.edu.cn/info/1378/10257.htm,"第一轮报名：2026年4月15日
第二轮报名：2026年5月10日",
20,西湖大学,生命科学学院,海纳百川 同心致远 | 2026西湖大学生命科学国际暑期学校全球启动,https://mp.weixin.qq.com/s?search_click_id=695993947480851192-1775281606633-8085167693&__biz=Mzg2NTY0NDIwNg==&mid=2247493071&idx=1&sn=53636a7b0674cb7771a3a64cbdb2cc9a&chksm=cfc170fcfc4bf366ff262c5a394d9bb505faece6c4cf23f01de0c9ceffd26a40bcb51b8b9c0b&scene=7#rd,2026年5月17日24时,
21,中国科学院,脑科学与智能技术卓越创新中心,中国科学院脑科学与智能技术卓越创新中心暑期学校2026年通知,https://www.ion.ac.cn/yjs/tzgg/202603/t20260331_8179817.html,2026年6月25日,
22,清华大学,统计与数据科学系,2026年清华大学统计与数据科学系学术开放日,https://mp.weixin.qq.com/s/-Z8OHTeC1xv-Gyd9m8LM8Q,2026年4月21日12:00,
23,中国科学技术大学,数学科学学院,中国科学技术大学数学科学学院2026年“数学有理”科学营报名通知,https://math.ustc.edu.cn/2026/0410/c18650a726171/page.htm,2026年5月8日,
24,同济大学,建筑与城市规划学院,2026年同济大学建筑与城市规划学院CAUP国际设计夏令营,https://mp.weixin.qq.com/s/tLczENtwPWJjiOxxjuZayw,2026年5月5日,
25,电子科技大学,英才实验学院,2026年电子科技大学英才实验学院-中国科学院半导体研究所“黄昆班”学员选拔通知（面向大二学生）,https://www.yingcai.uestc.edu.cn/info/1112/6824.htm,2026年4月15日17：00,
26,中国科学院,福建物质结构研究所,2026年中国科学院福建物质结构研究所（海西研究院）大学生暑期夏令营招募通知,https://fjirsm.cas.cn/yjsjy/zsxx/202604/t20260407_8182017.html,2026年6月20日,
27,中国科学院,广州生物医药与健康研究院,2026年中国科学院广州生物医药与健康研究院第二十届“走进GIBH”大学生夏令营报名通知,https://gibh.cas.cn/yjs/zsxx/xly/202604/t20260408_8183050.html,2026年5月8日24:00,
28,中国科学院,生物与化学交叉研究中心,2026年中国科学院生物与化学交叉研究中心大学生暑期夏令营报名通知,https://www.ircbc.ac.cn/edu/xly/202604/t20260409_8183495.html,2026年6月15日,
29,香港科技大学（广州）,功能枢纽,2026年香港科技大学（广州）功能枢纽博士项目夏令营报名开启！,https://mp.weixin.qq.com/s/B0ItTaEy_rzxF395X8Kf4Q?scene=1&click_id=20,2026年6月3日23:59,
30,香港中文大学（深圳）,理工学院,2026年香港中文大学（深圳）理工学院卓越本科生夏令营开放报名！,https://mp.weixin.qq.com/s/ei_28cznyaW9tdzk9ecbAA?scene=1&click_id=21,2026年5月8日,
31,西湖大学,生命科学学院,2026年西湖大学生命科学国际暑期学校“大师课”报名开启,https://mp.weixin.qq.com/s/jvUALEdZuS3UBZ2dUY6PYQ?scene=1&click_id=26,2026年5月17日24时,
32,重庆邮电大学,人工智能学院,重庆邮电大学人工智能学院DEVC团队2026年全国优秀大学生精英夏令营（线上）报名通知,https://mp.weixin.qq.com/s/LkOP-R2BAqQkD72EvesfBg,2026年4月20日18:00,
33,中国科学院,微生物研究所,招生宣传 | 基础医学2026招生直播宣讲会,https://mp.weixin.qq.com/s/yVb1lI3-Dfb5zatMquQYOQ,暂无,
34,中国科学院,城市环境研究所,“城”风逐梦，“环”抱未来‖第十七届“城市环境与健康”优秀大学生夏令营报名启动！,https://mp.weixin.qq.com/s/S0Fqxnq-SPgZFQu0k0Z6Ng,2026年7月6日,
35,中国科学院,空天信息创新研究院,2026年“空天信息技术春令营”报名简章,https://mp.weixin.qq.com/s/hwrkwrhdcsJ5A1gfIYNwyw,2026年5月18日,
36,中国科学院,上海光学精密机械研究所,重磅发布 | 2027年中国科学院上海光机所招生宣传手册,https://mp.weixin.qq.com/s/ofFGoCswDH6BLCRjnuVLGg,暂无,
37,中国科学院,分子植物科学卓越创新中心,2026年中国科学院分子植物科学卓越创新中心“探索生命的多样性”暑期夏令营报名通知（面向大二、大三）,https://www.cemps.cas.cn/jypy/yjspy/yjs_zsqk/202604/t20260414_8185538.html,2026年6月20日,
38,中国科学院,分子植物科学卓越创新中心,2026年中国科学院分子植物科学卓越创新中心大学生开放日活动报名通知（面向大二、大三）,https://www.cemps.cas.cn/jypy/yjspy/yjs_zsqk/202604/t20260414_8185532.html,2026年4月30日,
39,中国科学院,上海有机化学研究所,2026年中国科学院上海有机化学研究所大学生暑期夏令营报名通知,https://sioc.cas.cn/zs/202604/t20260415_8185634.html,2026年6月13日,
40,中国科学院,上海天文台,2026年中国科学院上海天文台空间对地观测及全球变化研讨会暨暑期学校第一号通知（上海，7月13-17日）,https://shao.cas.cn/2020Ver/xwdt/twhyxx/202604/t20260415_8185704.html,暂无,
41,中国科学院,分子细胞科学卓越创新中心,2026年中国科学院分子细胞科学卓越创新中心大学生夏令营活动与拔尖本科生暑期实践计划报名通知,https://www.sibcb.ac.cn/edu/news1.jsp?ID=1556,2026年6月8日,
42,中国科学院,遗传与发育生物学研究所,2026年中国科学院遗传与发育生物学研究所“筑梦科学”大学生夏令营活动报名通知,https://genetics.cas.cn/edu/zsxx/xlytms/202604/t20260424_8190986.html,2026年6月20日,
43,北京大学,数学科学学院,2026年北京大学数学科学学院“代数与数论”暑期学校,https://mp.weixin.qq.com/s/4aOsU_bhDRFUL4gZpCDnog?scene=1&click_id=2,2026年4月28日,
44,北京大学,数学科学学院,2026年北京大学数学科学学院数学学科交流营报名通知,https://www.math.pku.edu.cn/zygg/172131.htm,2026年4月25日24:00,
45,中国科学技术大学,化学与材料科学学院,2026年中国科学技术大学第一届“菁致启航”科创营暨“化育英材”科学营报名通知,https://mp.weixin.qq.com/s/fo5n_6ULkkG-bpXxajOxDA,2026年5月5日,
46,中国科学院大学,太极实验室,2026年中国科学院大学太极实验室“大学生创新实践训练计划” (空间引力波探测）,https://ictp-ap.org/post/247,2026年5月6日,
47,中国科学院大学,前沿交叉科学学院,中国科学院大学前沿交叉科学学院2026年大学生前沿交叉学科夏令营招募公告,https://mp.weixin.qq.com/s/8JwSxMl7KJvAoAU52TJDLA,2026年5月10日,
48,清华大学,数据与信息研究院,2026年清华大学数据与信息研究院智慧物流与工业智能专业硕士项目启动招生,https://mp.weixin.qq.com/s/OzpLuDyOufFaKfwlOe-EpA,暂无,
49,清华大学,人工智能学院,2026年清华大学人工智能学院大学生学术交流日,https://mp.weixin.qq.com/s/WSNyaAeXirg8qaasI7xa8g,2026年4月30日17:00,
50,清华大学,交叉信息研究院,2026年清华大学交叉信息研究院学术交流开放日报名启动（物理学科）,https://admission.iiis.tsinghua.edu.cn/appinfo.php,2026年5月7日16:00,
51,清华大学,交叉信息研究院,2026年清华大学交叉信息研究院学术交流开放日报名启动（计算机学科）,https://admission.iiis.tsinghua.edu.cn/appinfo.php,2026年5月7日16:00,
52,北京大学,定量生物学中心,2026年北京大学定量生物学中心暑期培训班招生简介,https://cqb.pku.edu.cn/info/1064/5633.htm,2026年6月2日,
53,复旦大学,数学科学学院,2026年复旦大学数学科学学院&上海数学中心数学学科全国优秀大学生学术营报名通知,https://scms.fudan.edu.cn/info/1047/12321.htm,2026年5月10日23:59,
54,中国科学技术大学,纳米技术与纳米仿生学院,2026年中国科学技术大学纳米技术与纳米仿生学院第一届 “纳微筑梦・科创启航” 科学营,https://mp.weixin.qq.com/s/2AHMycqu23CUYTWX5IhGKg?scene=1,2026年5月5日,
55,中国科学技术大学,国家同步辐射实验室,2026年中国科学技术大学国家同步辐射实验室第一届“HALF英才”科学营活动通知,https://www.nsrl.ustc.edu.cn/2026/0424/c10985a735756/page.htm,2026年5月8日,
56,中国科学技术大学,未来技术学院,2026年中国科学技术大学未来技术学院第一届“未来已来·交叉科学”科学营暨“量子科技”实践营报名通知,https://xspt.ustc.edu.cn/logon,2026年5月10日,
57,中国科学技术大学,地球和空间科学学院,2026年中国科学技术大学地球和空间科学学院第一届大气与全球变化科学营报名通知,https://ess.ustc.edu.cn/2026/0424/c41218a735722/page.htm,2026年5月10日,
58,中国科学技术大学,地球和空间科学学院,2026年中国科学技术大学地球和空间科学学院第一届空间科学与技术科学营报名通知,https://ess.ustc.edu.cn/2026/0424/c41218a735778/page.htm,2026年5月10日,
59,中国科学技术大学,地球和空间科学学院,2026年中国科学技术大学地球和空间科学学院地球与行星物理科学营报名通知,https://ess.ustc.edu.cn/2026/0424/c41218a735724/page.htm,2026年5月10日,
60,中国科学院,上海硅酸盐研究所,2026年中国科学院上海硅酸盐研究所“下一站，硅所”大学生夏令营报名正式开始,https://mp.weixin.qq.com/s/U1BXOagIzoMhAUw1ziAvjg,2026年6月20日,
61,中国科学院,青岛生物能源与过程研究所,2026年中国科学院青岛生物能源与过程研究所“清源聚能”大学生夏令营来啦！,https://mp.weixin.qq.com/s/J3k4tTxDH5zxYRNYUHj3sQ?scene=1,2026年6月15日,
62,中国科学院,应用物理研究所,2026年中国科学院上海应用物理研究所“应用物理”暑期大学生夏令营招募通知,https://www.sinap.cas.cn/yjsjynew/zsjz/sszs_177904/202604/t20260420_8187694.html,2026年6月21日,
63,中国科学院,西安光学精密机械研究所,2026年中国科学院西安光学精密机械研究所未来科技领军人才超常规培养计划（光跃计划）招生简章发布,https://mp.weixin.qq.com/s/ILD82yR7QlrLX4ERCPQL_A,2026年6月20日,
64,中国科学院,西安光学精密机械研究所,2026年中国科学院西安光学精密机械研究所招生系列活动等你来！（招生开放日）,https://mp.weixin.qq.com/s/Z8XkqR1VkDnKp0KyWzKMbw,2026年6月1日,
65,中国科学院,西安光学精密机械研究所,2026年中国科学院西安光学精密机械研究所招生系列活动等你来！（嫦娥奔月夏令营）,https://mp.weixin.qq.com/s/Z8XkqR1VkDnKp0KyWzKMbw,2026年7月1日,
66,中国科学院,上海药物研究所,2026年中国科学院上海药物研究所优秀大学生夏令营营员招募,https://simm.cas.cn/web/yjsjy/zsxx/202604/t20260420_8187537.html,2026年7月30日,
67,中国科学院,数学与系统科学研究院,2026年中国科学院数学与系统科学研究院春令营报名通知,https://amss.cas.cn/admission/tzgg/202604/t20260421_8188045.html,2026年5月4日24:00,
68,中国科学院,宁波材料技术与工程研究所,2026年中国科学院宁波材料技术与工程研究所“梦启甬城，心动科苑”大学生暑期夏令营招募通知,https://ncmte.nimte.ac.cn/view-33404.html,2026年6月20日,
69,中国科学院,南海海洋研究所,2026年中国科学院南海海洋研究所“蓝色海洋”大学生夏令营活动通知,https://mp.weixin.qq.com/s/jALxd-8RQkRCaj1oz9SFdg?scene=1&click_id=2,2026年6月20日,
70,中国科学院,微小卫星创新研究院,2026年中国科学院微小卫星创新研究院“筑梦星空”暑期大学生夏令营招募通知,https://microsate.cas.cn/yajsjy/tztg/202604/t20260421_8189501.html,2026年6月19日17:00,
71,中国科学院,广州生物医药与健康研究院,2026年中国科学院广州生物医药与健康研究院第二十届“走进GIBH”大学生夏令营报名通知（第二批）,https://gibh.cas.cn/yjs/zsxx/xly/202604/t20260408_8183050.html,2026年6月19日24:00,
72,中国科学院,西北生态环境资源研究院,2026年中国科学院西北生态环境资源研究院“相聚丝路兰州 共筑科学梦想”优秀大学生夏令营的通知,https://nieer.cas.cn/edu/kjjh/xly/202604/t20260423_8190291.html,2026年6月20日,
73,中国科学院,西北生态环境资源研究院,2026年中国科学院西北生态环境资源研究院揭秘“西北生态环境资源”暑期学校的通知,https://nieer.cas.cn/edu/kjjh/202604/t20260423_8190289.html,2026年6月25日,
74,中国科学院,上海光学精密机械研究所,2026年中国科学院上海光学精密机械研究所“追光之旅”暑期大学生夏令营招募通知（第一期）,https://siom.cas.cn/rcjy/zsxx/sszs/202604/t20260423_8190648.html,2026年6月20日,
75,中国科学院,上海光学精密机械研究所,2026年中国科学院上海光学精密机械研究所“追光之旅”暑期大学生夏令营招募通知（第二期）,https://siom.cas.cn/rcjy/zsxx/sszs/202604/t20260423_8190648.html,2026年6月20日,
76,中国科学院,工程热物理研究所,"2026年中国科学院工程热物理研究所北京""大学生开放日""开始报名啦！",https://mp.weixin.qq.com/s/hgVU_JEPEMcHLM88k2H7mw?scene=1&click_id=6,2026年5月14日18:00,
77,中国科学院,遗传与发育生物学研究所,2026年中国科学院遗传与发育生物学研究所“未来之星”大学生夏令营招生通知,https://sjziam.cas.cn/xwdt/tzgg/202604/t20260423_8190249.html,2026年6月30日,
78,中国科学院,海洋研究所,2026年中国科学院海洋研究所海洋科学暑期夏令营报名通知,http://www.qdio.ac.cn/yjs/zsxx/xly/202604/t20260424_835083.html,2026年6月25日,
79,中国科学院,天津工业生物技术研究所,2026年中国科学院天津工业生物技术研究所大学生夏令营招生简章,https://tib.cas.cn/xwdt/tzgg/t_8190818.html,2026年6月15日,
80,中国科学院,前沿交叉科学学院,2026年中国科学院前沿交叉科学学院大学生前沿交叉学科夏令营招募公告,https://mp.weixin.qq.com/s/8JwSxMl7KJvAoAU52TJDLA,2026年5月10日,
81,中国科学院,分子细胞科学卓越中心,2026年中国科学院分子细胞科学卓越中心优秀本科生开放日活动01,https://mp.weixin.qq.com/s/odjll5NuZOMDbwVR5lkKGA?scene=1&click_id=2,2026年5月11日09:00,
82,中国科学院,分子细胞科学卓越中心,2026年中国科学院分子细胞科学卓越中心优秀本科生开放日活动02,https://mp.weixin.qq.com/s/uOgE24obD1g_fWwhRwPJTQ?scene=1&click_id=1,2026年5月11日09:00,
83,清华大学,智能产业研究院,2026年清华大学智能产业研究院夏令营开始报名啦！,https://mp.weixin.qq.com/s/O_M_JCzFaPUCHV4w0O3lLQ,暂无,
